Real,User,Sys,Algorithm,Iteration
0.32,0.17,0.14,Sync,1
0.35,0.23,0.12,Async,1
0.34,0.19,0.14,EdgeAsync,1
0.37,0.22,0.15,EtiledAsync,1
0.33,0.17,0.16,BlkdAsync,1
0.50,0.37,0.13,LabelProc,1
0.60,0.46,0.13,Serial,1
0.31,0.17,0.14,Sync,2
0.33,0.20,0.13,Async,2
0.35,0.22,0.13,EdgeAsync,2
0.37,0.19,0.17,EtiledAsync,2
0.33,0.21,0.12,BlkdAsync,2
0.50,0.35,0.15,LabelProc,2
0.62,0.47,0.14,Serial,2
0.31,0.17,0.14,Sync,3
0.34,0.19,0.14,Async,3
0.34,0.19,0.15,EdgeAsync,3
0.37,0.22,0.14,EtiledAsync,3
0.34,0.18,0.15,BlkdAsync,3
0.51,0.37,0.13,LabelProc,3
0.61,0.46,0.15,Serial,3
0.32,0.15,0.16,Sync,4
0.34,0.22,0.12,Async,4
0.34,0.18,0.15,EdgeAsync,4
0.38,0.24,0.14,EtiledAsync,4
0.34,0.21,0.13,BlkdAsync,4
0.53,0.39,0.13,LabelProc,4
0.62,0.47,0.14,Serial,4
0.31,0.16,0.14,Sync,5
0.33,0.19,0.14,Async,5
0.36,0.22,0.14,EdgeAsync,5
0.37,0.23,0.13,EtiledAsync,5
0.34,0.17,0.17,BlkdAsync,5
0.53,0.38,0.14,LabelProc,5
0.62,0.47,0.15,Serial,5
0.32,0.18,0.14,Sync,6
0.34,0.21,0.13,Async,6
0.35,0.18,0.16,EdgeAsync,6
0.36,0.20,0.16,EtiledAsync,6
0.34,0.19,0.14,BlkdAsync,6
0.50,0.36,0.13,LabelProc,6
0.62,0.46,0.15,Serial,6
0.32,0.18,0.14,Sync,7
0.34,0.19,0.15,Async,7
0.35,0.22,0.12,EdgeAsync,7
0.37,0.22,0.14,EtiledAsync,7
0.34,0.20,0.14,BlkdAsync,7
0.52,0.37,0.14,LabelProc,7
0.61,0.46,0.15,Serial,7
0.32,0.16,0.15,Sync,8
0.34,0.19,0.15,Async,8
0.35,0.20,0.14,EdgeAsync,8
0.38,0.22,0.15,EtiledAsync,8
0.34,0.18,0.15,BlkdAsync,8
0.52,0.40,0.12,LabelProc,8
0.60,0.44,0.15,Serial,8
0.31,0.15,0.15,Sync,9
0.33,0.18,0.14,Async,9
0.35,0.21,0.14,EdgeAsync,9
0.36,0.23,0.13,EtiledAsync,9
0.36,0.21,0.14,BlkdAsync,9
0.53,0.38,0.14,LabelProc,9
0.62,0.48,0.13,Serial,9
0.32,0.17,0.14,Sync,10
0.34,0.20,0.14,Async,10
0.34,0.20,0.14,EdgeAsync,10
0.37,0.23,0.14,EtiledAsync,10
0.36,0.20,0.15,BlkdAsync,10
0.52,0.39,0.13,LabelProc,10
0.64,0.51,0.13,Serial,10
0.31,0.17,0.13,Sync,11
0.35,0.20,0.14,Async,11
0.34,0.19,0.14,EdgeAsync,11
0.37,0.21,0.15,EtiledAsync,11
0.34,0.19,0.15,BlkdAsync,11
0.51,0.36,0.15,LabelProc,11
0.62,0.47,0.14,Serial,11
0.32,0.19,0.13,Sync,12
0.33,0.17,0.15,Async,12
0.35,0.18,0.16,EdgeAsync,12
0.36,0.21,0.14,EtiledAsync,12
0.35,0.22,0.13,BlkdAsync,12
0.51,0.35,0.15,LabelProc,12
0.61,0.45,0.16,Serial,12
0.32,0.18,0.14,Sync,13
0.35,0.18,0.16,Async,13
0.35,0.23,0.11,EdgeAsync,13
0.38,0.22,0.15,EtiledAsync,13
0.35,0.17,0.17,BlkdAsync,13
0.52,0.36,0.15,LabelProc,13
0.64,0.49,0.14,Serial,13
0.31,0.17,0.14,Sync,14
0.33,0.17,0.16,Async,14
0.35,0.20,0.15,EdgeAsync,14
0.38,0.23,0.14,EtiledAsync,14
0.34,0.20,0.14,BlkdAsync,14
0.51,0.36,0.15,LabelProc,14
0.60,0.43,0.16,Serial,14
0.31,0.15,0.15,Sync,15
0.33,0.17,0.15,Async,15
0.35,0.19,0.16,EdgeAsync,15
0.37,0.23,0.14,EtiledAsync,15
0.34,0.19,0.15,BlkdAsync,15
0.52,0.36,0.15,LabelProc,15
0.62,0.48,0.14,Serial,15
0.32,0.18,0.14,Sync,16
0.34,0.19,0.15,Async,16
0.35,0.20,0.14,EdgeAsync,16
0.36,0.22,0.13,EtiledAsync,16
0.34,0.20,0.13,BlkdAsync,16
0.52,0.39,0.13,LabelProc,16
0.60,0.45,0.15,Serial,16
0.33,0.17,0.16,Sync,17
0.33,0.18,0.14,Async,17
0.35,0.19,0.16,EdgeAsync,17
0.37,0.21,0.16,EtiledAsync,17
0.34,0.20,0.14,BlkdAsync,17
0.51,0.37,0.14,LabelProc,17
0.62,0.48,0.14,Serial,17
0.32,0.18,0.13,Sync,18
0.35,0.22,0.12,Async,18
0.35,0.19,0.15,EdgeAsync,18
0.37,0.21,0.15,EtiledAsync,18
0.34,0.17,0.16,BlkdAsync,18
0.50,0.36,0.14,LabelProc,18
0.63,0.46,0.16,Serial,18
0.32,0.18,0.13,Sync,19
0.34,0.20,0.13,Async,19
0.34,0.21,0.13,EdgeAsync,19
0.37,0.22,0.15,EtiledAsync,19
0.34,0.19,0.14,BlkdAsync,19
0.50,0.35,0.15,LabelProc,19
0.62,0.50,0.12,Serial,19
0.30,0.16,0.14,Sync,20
0.33,0.20,0.14,Async,20
0.34,0.18,0.15,EdgeAsync,20
0.36,0.20,0.16,EtiledAsync,20
0.35,0.21,0.13,BlkdAsync,20
0.51,0.37,0.14,LabelProc,20
0.61,0.48,0.13,Serial,20
0.31,0.15,0.15,Sync,21
0.33,0.19,0.13,Async,21
0.35,0.22,0.13,EdgeAsync,21
0.37,0.22,0.14,EtiledAsync,21
0.34,0.19,0.14,BlkdAsync,21
0.50,0.35,0.15,LabelProc,21
0.60,0.45,0.15,Serial,21
0.32,0.20,0.11,Sync,22
0.33,0.17,0.15,Async,22
0.36,0.22,0.14,EdgeAsync,22
0.37,0.26,0.11,EtiledAsync,22
0.34,0.18,0.16,BlkdAsync,22
0.51,0.39,0.12,LabelProc,22
0.61,0.48,0.13,Serial,22
0.32,0.18,0.13,Sync,23
0.33,0.17,0.16,Async,23
0.35,0.20,0.14,EdgeAsync,23
0.36,0.22,0.14,EtiledAsync,23
0.33,0.20,0.12,BlkdAsync,23
0.52,0.39,0.13,LabelProc,23
0.60,0.46,0.14,Serial,23
0.31,0.17,0.13,Sync,24
0.33,0.18,0.14,Async,24
0.36,0.24,0.11,EdgeAsync,24
0.36,0.21,0.15,EtiledAsync,24
0.33,0.19,0.14,BlkdAsync,24
0.50,0.35,0.14,LabelProc,24
0.62,0.47,0.15,Serial,24
0.32,0.18,0.14,Sync,25
0.34,0.17,0.16,Async,25
0.35,0.18,0.16,EdgeAsync,25
0.36,0.22,0.14,EtiledAsync,25
0.35,0.21,0.13,BlkdAsync,25
0.51,0.38,0.13,LabelProc,25
0.61,0.46,0.15,Serial,25
